work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_band
2025,3,2,293,136000,24,136000,89,0,84,1,1
2025,2,2,210,264200,24,264200,89,0,84,1,0
2025,2,2,210,143100,24,143100,89,0,84,1,1
2025,3,2,210,185000,24,185000,89,0,84,1,0
2025,3,2,210,165000,24,165000,89,0,84,1,0
2025,2,2,293,80000,8,101265,32,0,32,1,1
2025,2,2,293,60000,8,75949,32,0,32,1,1
2025,2,2,210,251666,24,251666,89,0,84,1,0
2025,2,2,210,176166,24,176166,89,0,84,1,0
2025,3,2,293,239000,24,239000,89,0,84,1,0
2025,3,2,293,161000,24,161000,89,0,84,1,0
2025,3,2,180,223400,24,223400,89,0,84,1,0
2025,3,2,180,96800,24,96800,89,0,84,1,1
2025,3,2,180,328300,24,328300,89,0,84,1,0
2025,3,2,180,192700,24,192700,89,0,84,1,0
2025,2,2,40,42000,24,42000,89,0,84,1,1
2025,2,2,40,42000,24,42000,89,0,84,1,1
2025,2,2,102,175400,24,175400,89,0,84,1,0
2025,2,2,102,106300,24,106300,89,0,84,1,1
2025,2,2,180,150700,24,150700,89,0,84,1,0
2025,2,2,180,98800,24,98800,89,0,84,1,1
2025,2,2,262,238000,24,238000,89,0,84,1,0
2025,2,2,262,171000,24,171000,89,0,84,1,0
2025,3,2,277,293000,24,293000,89,0,84,1,0
2025,3,2,277,213000,24,213000,89,0,84,1,0
2025,2,2,132,100000,24,100000,89,0,84,1,1
2025,2,2,132,80000,24,80000,89,0,84,1,1
2025,2,2,67,221000,24,221000,89,0,84,1,0
2025,2,2,67,176000,24,176000,89,0,84,1,0
2025,2,2,102,56160,7,59115,53,0,51,1,1
2025,2,2,102,37440,7,39410,53,0,51,1,1
2025,2,2,276,173000,24,173000,89,0,84,1,0
2025,2,2,276,117000,24,117000,89,0,84,1,1
2025,3,2,37,294000,24,294000,89,0,84,1,0
2025,3,2,37,137600,24,137600,89,0,84,1,1
2025,3,2,27,107000,24,107000,13,0,12,1,1
2025,3,2,27,87000,24,87000,13,0,12,1,1
2025,3,2,102,281000,24,281000,89,0,84,1,0
2025,3,2,102,206000,24,206000,89,0,84,1,0
2025,2,2,102,190000,24,190000,89,0,84,1,0
2025,2,2,102,150000,24,150000,89,0,84,1,0
2025,3,2,102,223900,24,223900,89,0,84,1,0
2025,3,2,102,135700,24,135700,89,0,84,1,1
2025,3,2,102,167500,24,167500,89,0,84,1,0
2025,3,2,102,145000,24,145000,89,0,84,1,1
2025,2,2,276,173000,24,173000,89,0,84,1,0
2025,2,2,276,112500,24,112500,89,0,84,1,1
2025,2,2,293,208800,24,208800,89,0,84,1,0
2025,2,2,293,98300,24,98300,89,0,84,1,1
2025,3,2,293,210000,24,210000,89,0,84,1,0
2025,3,2,293,144840,24,144840,89,0,84,1,1
2025,2,2,293,60000,8,75949,32,0,32,1,1
2025,2,2,293,47500,8,60126,32,0,32,1,1
2025,0,2,25,145000,24,145000,89,0,84,1,1
2025,0,2,25,99000,24,99000,89,0,84,1,1
2025,2,2,180,138500,24,138500,89,0,84,1,1
2025,2,2,180,115000,24,115000,89,0,84,1,1
2025,0,2,22,135000,24,135000,89,100,84,1,1
2025,0,2,22,56000,24,56000,89,100,84,1,1
2025,0,2,25,89000,24,89000,89,100,84,1,1
2025,0,2,25,47000,24,47000,89,100,84,1,1
2025,3,2,226,189000,24,189000,89,0,84,1,0
2025,3,2,226,108000,24,108000,89,0,84,1,1
2025,2,2,180,169000,24,169000,89,0,84,1,0
2025,2,2,180,118000,24,118000,89,0,84,1,1
2025,3,2,293,300000,24,300000,89,100,84,1,0
2025,3,2,293,270000,24,270000,89,100,84,1,0
2025,2,2,25,251600,24,251600,32,0,32,1,0
2025,2,2,25,120100,24,120100,32,0,32,1,1
2025,3,2,102,107000,24,107000,13,0,12,1,1
2025,3,2,102,87000,24,87000,13,0,12,1,1
2025,3,2,38,188100,24,188100,89,100,84,1,0
2025,3,2,38,114500,24,114500,89,100,84,1,1
2025,3,2,277,173000,24,173000,89,0,84,1,0
2025,3,2,277,117000,24,117000,89,0,84,1,1
2025,3,2,277,251000,24,251000,89,0,84,1,0
2025,3,2,277,177000,24,177000,89,0,84,1,0
2025,3,2,291,178100,24,178100,89,0,84,1,0
2025,3,2,291,79000,24,79000,89,0,84,1,1
2025,3,2,236,178100,24,178100,89,0,84,1,0
2025,3,2,236,79000,24,79000,89,0,84,1,1
2025,3,2,180,210000,24,210000,89,0,84,1,0
2025,3,2,180,144840,24,144840,89,0,84,1,1
2025,3,2,262,190000,24,190000,89,100,84,1,0
